timestamp,00:e6:0e:3e:10:96,00:e6:0e:3e:10:94,b0:0a:d5:4e:74:9d,90:72:40:19:b7:cd,90:72:40:19:b7:cc,62:22:32:2e:6e:8e,62:22:32:2e:6e:8d,62:22:32:5e:6e:8e,60:22:32:5e:6e:8d,62:22:32:3e:6e:8d,00:0f:94:31:49:24,62:22:32:1e:6e:8e,62:22:32:1e:6e:8d,9c:3d:cf:ea:cd:2a,00:e6:0e:3e:10:98,9c:3d:cf:ea:cd:28,00:e6:0e:3e:10:97,00:e6:0e:3e:10:95,38:c0:ea:46:3d:71,62:22:32:4e:6e:8e,62:22:32:3e:6e:8e,40:5f:7d:16:ef:45,00:e6:0e:3f:d6:54,b0:0a:d5:4d:74:9d
1778490065.5107603,-84,-84,-85,-66,-67,-58,-57,-58,-57,-57,-75,-58,-57,-85,-85,-81,-84,-84,-57,nan,nan,nan,nan,nan
1778490067.6835063,-84,-84,-85,-66,-67,-58,-57,-58,-57,-57,-75,-58,-57,-85,-85,-81,-84,-84,-57,nan,nan,nan,nan,nan
1778490069.84325,-84,-84,-85,-66,-67,-58,-57,-58,-57,-57,-75,-58,-57,-85,-85,-81,-84,-84,-57,nan,nan,nan,nan,nan
1778490072.0056252,-84,-84,-85,-66,-67,-58,-57,-58,-57,-57,-75,-58,-57,-85,-85,-81,-84,-84,-57,nan,nan,nan,nan,nan
1778490074.1674612,-84,-84,-85,-66,-67,-58,-57,-58,-57,-57,-75,-58,-57,-85,-85,-81,-84,-84,-57,nan,nan,nan,nan,nan
1778490078.0114732,-84,-84,-85,-66,-67,-58,-57,-58,-57,-57,-75,-58,-57,-85,-85,-81,-84,-84,-57,nan,nan,nan,nan,nan
1778490080.2646554,-84,-84,-85,-60,-67,-59,-57,-58,-57,-57,-73,-58,-57,-85,-85,-81,-84,-84,-57,-57,nan,nan,nan,nan
1778490082.4610097,-84,-84,-85,-60,-67,-58,-57,-58,-57,-57,-73,-58,-57,-85,-85,-81,-84,-84,-57,-57,nan,nan,nan,nan
1778490084.6459959,-84,-84,-85,-60,-67,-58,-57,-58,-57,-57,-73,-58,-57,-85,-85,-81,-84,-84,-60,-57,nan,nan,nan,nan
1778490086.9082198,-83,-82,-87,-67,-81,-58,-59,-57,-59,-59,-62,-57,-59,-83,-82,-80,-82,-82,-60,-58,-57,-82,-88,-80
1778490089.1270876,-83,-82,-87,-67,-81,-58,-59,-57,-59,-59,-62,-57,-59,-83,-82,-80,-82,-82,-60,-58,-57,-82,-88,-80
