timestamp,DIRECT-CF-HP OfficeJet Pro 9120e,DIRECT-D5-HP OfficeJet Pro 9730e,HH71VM_EF45_2.4G,ITA,KNATWH,KNGUEST,KnEmeaMD1,KuehneNagel,MCW,MEDIC,MEW,MGS,MOKI,MOKI-5G_EXT,Net-P,ZTE_5GCPE_749D,ZTE_5GCPE_749D_5G,mimm_activeshuttle_24,mimm_activeshuttle_50,nkceWarehouseA
2026-05-18 08:29:19,,,,,,,,,-56,-68,-58,-57,-76,-87,-70,,-84,,,
2026-05-18 08:29:28,,,,,,,-85,,-63,-68,-62,-63,-85,-86,-71,-76,-84,,,
2026-05-18 08:29:40,,,,,,,-85,,-59,-74,-60,-59,-88,-86,-78,-75,-86,,,
2026-05-18 08:29:48,,,,,,,-85,,-53,-64,-54,-53,-88,-86,-71,-75,-86,,,
2026-05-18 08:29:57,,,,,,,-85,,-57,-66,-57,-53,-89,-85,-66,-75,-79,,,
2026-05-18 08:30:05,,,,,,,-85,,-47,-66,-48,-47,-75,-84,-65,-75,-80,,,
2026-05-18 08:30:13,,,,,,,-85,,-47,-75,-48,-47,-75,-85,-69,-68,-78,,,
2026-05-18 08:30:21,,,,,,-82,-83,,-47,-63,-48,-47,-75,-84,-71,-68,-82,,,
2026-05-18 08:30:30,,,,,,-82,-83,,-55,-64,-55,-47,-84,-76,-66,-68,-83,,,
2026-05-18 08:30:38,,,,,,-82,-83,-88,-60,-69,-60,-60,-76,-82,-65,-71,-75,,,
2026-05-18 08:30:47,,-83,-89,-88,-83,-82,-83,-88,-60,-65,-60,-60,-76,-83,-61,-68,-72,,,-87
2026-05-18 08:30:55,-86,-83,-89,-88,-83,-82,-83,-88,-60,-67,-60,-60,-86,-84,-61,-66,-79,,,-87
2026-05-18 08:31:04,-86,-89,-89,-88,-86,-82,-83,-86,-76,-71,-60,-75,-87,-85,-61,-74,-75,,,-87
2026-05-18 08:31:12,-86,-89,-89,-88,-85,-82,-83,-85,-76,-68,-60,-75,-87,-85,-66,-71,-81,,,-87
2026-05-18 08:31:20,-86,-89,-89,-88,-80,-82,-83,-80,-62,-77,-62,-62,-87,-83,-75,-72,-79,,,-88
2026-05-18 08:31:29,-86,-89,-89,-88,-80,-82,-83,-80,-62,-60,-62,-62,-87,-87,-75,-57,-67,,,-88
